epoch,train_loss,train_acc,val_loss,val_acc,lr
0,2.121714211845398,0.13102,1.674088928413391,0.184,0.1
1,1.5899498484420775,0.2066,1.4990872369766235,0.2593,0.1
2,1.4602735904312134,0.27814,1.398141608428955,0.314,0.1
3,1.3744206537246704,0.32638,1.2828757257461547,0.3647,0.1
4,1.2905863993453979,0.3686,1.2153370084762574,0.4074,0.1
5,1.2055848326492309,0.41372,1.1411865041732787,0.4447,0.1
6,1.1285075937652589,0.45248,1.100208856010437,0.48,0.1
7,1.0599309275436402,0.48976,1.0750303674697876,0.4887,0.1
8,0.9931301974487304,0.52598,1.00043345413208,0.5254,0.1
9,0.8975259303474427,0.57646,0.8280643214225769,0.6109,0.020000000000000004
10,0.8548726855659485,0.59538,0.7937990786552429,0.6343,0.020000000000000004
11,0.8229631591033936,0.61378,0.7824414057731628,0.6361,0.020000000000000004
12,0.7972607882499695,0.6273,0.7487898067474366,0.6518,0.020000000000000004
13,0.7687532461166382,0.642,0.7352218538284302,0.6641,0.020000000000000004
14,0.745022142791748,0.65386,0.7051048164367676,0.6789,0.020000000000000004
15,0.7180684557533265,0.67142,0.6907901038169861,0.6841,0.020000000000000004
16,0.6973500085639953,0.6792,0.6691263728141784,0.6939,0.020000000000000004
17,0.6695309273719787,0.69194,0.6802826415061951,0.6939,0.020000000000000004
18,0.6328499877548218,0.71184,0.591157019329071,0.7296,0.004000000000000001
19,0.6153121795082093,0.72086,0.5835469495773316,0.7347,0.004000000000000001
20,0.6101914974403382,0.7232,0.5740637884140015,0.7393,0.004000000000000001
21,0.6013173204612732,0.7263,0.5697772110939026,0.7419,0.004000000000000001
22,0.5916649374008178,0.73178,0.5632391027450562,0.7442,0.004000000000000001
23,0.5837907131195068,0.73412,0.5649042053222656,0.7448,0.004000000000000001
24,0.5783373627662659,0.74034,0.550577685546875,0.7533,0.0008000000000000003
25,0.5711105296897888,0.74354,0.5475301988601684,0.7555,0.0008000000000000003
26,0.5696977896308899,0.74354,0.5466012515068054,0.7551,0.0008000000000000003
27,0.5700496178054809,0.74332,0.5445460021972657,0.7554,0.0008000000000000003
28,0.5683319142150879,0.74292,0.5440043801307678,0.7556,0.0008000000000000003
29,0.5630476636314392,0.74742,0.542619824886322,0.7551,0.0008000000000000003
